var_x,var_y,cov_xy,anisotropy,is_fake
0.027460728,0.05798076,0.0013935257,0.358686,0
0.0336278,0.05126557,-0.002022226,0.2131536,0
0.009954972,0.072491206,-0.0021528436,0.76029634,0
0.03495517,0.08353655,0.0005419653,0.41009668,0
0.046215348,0.02678743,0.016862258,0.5331268,0
0.0797115,0.09176178,-0.01325649,0.16983876,0
0.108765855,0.10800715,0.008103021,0.07484195,0
0.03831178,0.05566088,0.0009793162,0.1857894,0
0.2970529,0.33519563,-0.009236525,0.06703159,0
0.21125367,0.27457905,0.010129326,0.13685128,0
0.066521555,0.0950674,0.0028589529,0.18016514,0
0.0719048,0.13154058,-0.0059855394,0.29897526,0
0.1105232,0.1270113,-0.001289316,0.07025695,0
0.09380706,0.16666964,0.0009694146,0.27982575,0
0.0024603172,0.0073651657,0.00022096878,0.50116795,0
0.16889109,0.1386359,0.01501703,0.13862549,0
0.21649037,0.36904848,0.010195031,0.26285946,0
0.13242428,0.14039178,0.0023462274,0.033893213,0
0.064380005,0.081802115,0.010078097,0.18225165,0
0.10083791,0.028779361,0.0041180323,0.55954844,0
0.1444343,0.049888056,0.0033248726,0.48774272,0
0.13631831,0.14503086,-0.003290131,0.038806602,0
0.13963519,0.111707844,0.005119338,0.11834393,0
0.20794336,0.43365455,-0.0033641902,0.35195106,0
0.04872858,0.039469376,-0.0013480976,0.10934114,0
0.12275623,0.11444029,-0.0066657984,0.06624273,0
0.022703316,0.08818606,-0.00080403837,0.59069586,0
0.30620608,0.26947552,0.027412066,0.114631005,0
0.13507177,0.13806164,0.006049963,0.04563267,0
0.05618952,0.034476995,-0.0033582347,0.25066993,0
0.08532022,0.06042601,-0.009095759,0.21154888,0
0.07733726,0.16669326,0.01536556,0.3872157,0
0.19328132,0.12542333,-0.011668397,0.22515672,0
0.033988614,0.09467955,-0.008442126,0.489595,0
0.09834261,0.09847065,0.023807714,0.24193165,0
0.08371012,0.056021642,-8.989572e-05,0.19815724,0
0.0841072,0.33737898,0.0021792806,0.6009893,0
0.23954779,0.2877899,-0.010061318,0.09912165,0
0.06920797,0.04779387,-0.001353936,0.18447952,0
0.01404251,0.007954257,0.00080101116,0.28618807,0
0.05627731,0.069906116,0.0010956116,0.10939414,0
0.059836987,0.062658064,0.0017917274,0.037231054,0
0.093855634,0.074223176,0.008196821,0.15217198,0
0.05363394,0.09347684,0.0019711778,0.27215677,0
0.0688462,0.04715861,-0.0073665665,0.2260114,0
0.09418885,0.12737504,0.0016635123,0.15053174,0
0.04996173,0.19049212,0.031109521,0.6391553,0
0.016766122,0.015451121,0.0005138926,0.051803038,0
0.09229605,0.03190413,0.0018417394,0.48714635,0
0.043355357,0.03601262,-0.0018179388,0.103234485,0
0.09326548,0.10781949,0.0005448734,0.072579645,0
0.20068952,0.057856288,-0.002149971,0.5526965,0
0.02944863,0.0814028,-0.0005784523,0.46879485,0
0.31478247,0.29956657,0.007657298,0.035140254,0
0.22379568,0.21644108,0.009326192,0.045543514,0
0.026152262,0.041426342,0.0022869152,0.2359321,0
0.055688918,0.14131814,0.008302478,0.44274515,0
0.0844855,0.1615861,0.011516746,0.32700783,0
0.1553884,0.12710048,0.0056746104,0.10789649,0
0.100462765,0.35699746,0.01569707,0.5649627,0
0.050966974,0.0478028,-0.0007845583,0.035758324,0
0.03475087,0.033015035,-0.0029419153,0.09052413,0
0.17680408,0.12680274,-0.0058533284,0.1691441,0
0.033394713,0.033221334,0.0039869407,0.1197256,0
0.12529188,0.1570675,0.00940932,0.13079055,0
0.05239452,0.063666895,-0.0044251783,0.12348198,0
0.06335881,0.042736433,-0.004851423,0.21481402,0
0.25902066,0.21304499,-0.003877707,0.09876822,0
0.08236996,0.0600067,-0.0002485633,0.15710884,0
0.08648288,0.05139906,0.0006530635,0.25462273,0
0.124213666,0.08659087,0.0025922803,0.18015815,0
0.0521471,0.06270443,-0.0012593331,0.09450037,0
0.17980224,0.06407197,0.01659642,0.49367982,0
0.10403523,0.08327537,-0.0014512618,0.11190862,0
0.095840275,0.10805832,0.0010404512,0.060784727,0
0.011048936,0.0063293874,0.000753697,0.28507614,0
0.052396405,0.11188899,-0.0011587127,0.36240193,0
0.1409161,0.10931654,-0.011141561,0.1545201,0
0.025282668,0.014905998,-0.00053547986,0.25956398,0
0.062197194,0.06652495,0.00094730064,0.03670123,0
0.057303593,0.09580756,0.0025589135,0.25368726,0
0.04600004,0.09808541,0.0004069371,0.36153108,0
0.081733614,0.07983205,0.006987301,0.08729142,0
0.25087726,0.19526684,0.034078885,0.19716881,0
0.04328385,0.047286283,0.0026249231,0.07288788,0
0.03629133,0.037901882,0.0028580741,0.080042705,0
0.09888478,0.10262668,-0.004240528,0.0460014,0
0.24154598,0.1527851,-0.010399923,0.23118939,0
0.118919246,0.107117236,0.0022255725,0.05580268,0
0.07568839,0.08503723,-0.0060321945,0.094960675,0
0.09329881,0.10257129,0.0121816,0.13308792,0
0.07746297,0.065588415,0.0078814635,0.13795727,0
0.078132,0.055055734,0.0032964286,0.1801923,0
0.09699367,0.09926102,-0.0014176259,0.018498125,0
0.14385031,0.14623462,-0.00080724177,0.00992637,0
0.43872616,0.25616097,0.022865986,0.2708434,0
0.042220112,0.10652926,0.003439816,0.4347961,0
0.020136379,0.054795694,0.0020847623,0.46587187,0
0.022655107,0.056212507,-0.001996225,0.42848554,0
0.014424365,0.028074192,-0.00073427334,0.3230292,0
0.026073657,0.078333065,0.023076788,0.66778874,0
0.119593695,0.09133084,0.0022159193,0.13563184,0
0.21974318,0.23838042,-0.003330771,0.0432022,0
0.10714565,0.09345717,0.009746499,0.11873722,0
0.3215918,0.17573413,0.0017523387,0.29336792,0
0.06127483,0.103970215,0.00633119,0.26949805,0
0.13828912,0.111651696,-0.00047207536,0.106641434,0
0.076362036,0.13574708,0.0007134904,0.28005347,0
0.11271336,0.12744689,0.008788921,0.095502265,0
0.028115615,0.12738165,0.0023412395,0.63908374,0
0.012577792,0.014589645,0.0006362448,0.08762008,0
0.059766326,0.021363385,-0.0020146354,0.4759448,0
0.045385882,0.007963565,-0.00049026514,0.70168406,0
0.17457607,0.08152324,-0.0012554033,0.36347747,0
0.28470203,0.15956318,0.010782841,0.28582746,0
0.022352204,0.0300743,-0.0012875492,0.15526472,0
0.07185824,0.068409085,0.000115013034,0.02464431,0
0.109268285,0.084913306,-0.0042533856,0.13285369,0
0.14079827,0.2960785,-0.010699762,0.3587911,0
0.14243574,0.11555364,-0.003096256,0.10692698,0
0.08568992,0.09392324,0.0018383807,0.050202005,0
0.15742108,0.117687136,-0.01216853,0.16936849,0
0.08474633,0.07642523,-0.0005809719,0.05212943,0
0.056282565,0.09722954,-0.0067154877,0.28071517,0
0.060382348,0.06922864,0.0053725378,0.107382834,0
0.2356128,0.17188269,0.0004850607,0.15641238,0
0.055847656,0.07282643,0.002328637,0.13682473,0
0.08522431,0.07535745,-0.002625579,0.06960392,0
0.035246965,0.10463717,0.0005516687,0.496114,0
0.13132761,0.17228986,0.0036726804,0.13706554,0
0.010401597,0.041995846,0.0010835832,0.60437846,0
0.03671273,0.027134122,0.0036187305,0.18803202,0
0.259239,0.24111974,-0.0046968465,0.040789675,0
0.0779122,0.10923064,0.0073532006,0.18488169,0
0.0771568,0.10113646,-0.006510132,0.15304178,0
0.036605332,0.088592,0.0060373447,0.42628777,0
0.106470086,0.058003634,-0.0030079214,0.29693547,0
0.03218892,0.047401097,-0.0028432796,0.20404689,0
0.068457425,0.020786317,-0.00044015492,0.5342526,0
0.07225004,0.0936099,-0.00080887525,0.12915054,0
0.064392544,0.083476044,2.5663177e-05,0.1290568,0
0.06090784,0.099048115,-0.0015860379,0.2392641,0
0.044172365,0.032159325,0.00064091134,0.1582708,0
0.12141233,0.11617761,-0.0034459445,0.036426075,0
0.09994815,0.15152265,0.001191486,0.20530938,0
0.08839137,0.069253445,0.0072650975,0.15242317,0
0.21409485,0.115162656,-0.011774346,0.30886433,0
0.10313471,0.18171732,-0.008605266,0.2824095,0
0.012128813,0.0224929,0.0038826673,0.37404558,0
0.051332153,0.043232795,-0.0031907596,0.10903845,0
0.054582212,0.074652046,0.0015715926,0.1571899,0
0.07537164,0.07630581,-0.0039823824,0.052870784,0
0.07218018,0.04729708,0.007165477,0.24033572,0
0.07140142,0.06164365,-0.0030845476,0.08676952,0
0.04085129,0.044644974,0.0073800045,0.17824839,0
0.5691881,0.6495943,-0.52151126,0.85832894,0
0.021657005,0.01707268,0.0009008195,0.1271767,0
0.097634576,0.083046935,0.001167448,0.081764,0
0.08467758,0.08752456,-0.0004923128,0.017493576,0
0.020353375,0.025279755,0.00017722658,0.10823295,0
0.08875186,0.0930059,-0.0049208207,0.05898862,0
0.30268446,0.14415616,0.0030407656,0.3550361,0
0.041885633,0.04598847,-0.0042655896,0.107726544,0
0.19552754,0.21628755,-6.349339e-05,0.050411824,0
0.051986374,0.06312103,0.0019976355,0.10277041,0
0.07611951,0.0930306,0.0035164843,0.1082773,0
0.26280728,0.11090794,-0.033546492,0.44433945,0
0.32452327,0.103583336,0.004069282,0.516435,0
0.03944851,0.04298595,-0.0005187141,0.044718962,0
0.103615925,0.051991813,-0.00048402086,0.3318142,0
0.045962688,0.06299105,-0.00063224806,0.15671873,0
0.093109295,0.2529536,0.0018239184,0.4620127,0
0.1384788,0.19990227,0.0077815605,0.18725707,0
0.09953048,0.13613772,0.0058253566,0.16301036,0
0.041225374,0.04732258,0.0029653378,0.09605776,0
0.20328867,0.3241428,-0.0047073895,0.2298309,0
0.087970756,0.084253944,0.0064091743,0.07749334,0
0.09522912,0.07162018,0.0015764037,0.14275385,0
0.060985357,0.03959023,-0.00017324169,0.21275268,0
0.18196978,0.19861318,0.00053294963,0.043820813,0
0.14028133,0.10406453,-0.004114834,0.15199727,0
0.21381663,0.15566072,-0.009183052,0.16506264,0
0.10083254,0.11409883,0.010543056,0.11590727,0
0.14525834,0.11027545,0.0043434715,0.14105837,0
0.06647485,0.09106006,0.0065627955,0.17690946,0
0.021795286,0.040393874,-0.00028687756,0.2992023,0
0.25533554,0.26480827,0.008744794,0.0382396,0
0.14054728,0.12151142,-0.007377292,0.0919045,0
0.04442639,0.09781516,-0.00010630907,0.37533912,0
0.09569253,0.05987516,0.014600826,0.29705706,0
0.039428007,0.10131805,0.010694354,0.46524388,0
