var_x,var_y,cov_xy,anisotropy,fft_score,is_fake
0.21974318,0.23838042,-0.003330771,0.0432022,117.31018,0
0.10714565,0.09345717,0.009746499,0.11873722,109.846146,0
0.3215918,0.17573413,0.0017523387,0.29336792,118.972336,0
0.06127483,0.103970215,0.00633119,0.26949805,115.11969,0
0.13828912,0.111651696,-0.00047207536,0.106641434,100.13986,0
0.076362036,0.13574708,0.0007134904,0.28005347,121.06506,0
0.11271336,0.12744689,0.008788921,0.095502265,106.98889,0
0.028115615,0.12738165,0.0023412395,0.63908374,124.55688,0
0.012577792,0.014589645,0.0006362448,0.08762008,90.2264,0
0.059766326,0.021363385,-0.0020146354,0.4759448,101.879,0
0.045385882,0.007963565,-0.00049026514,0.70168406,97.80891,0
0.17457607,0.08152324,-0.0012554033,0.36347747,112.00092,0
0.28470203,0.15956318,0.010782841,0.28582746,112.76582,0
0.022352204,0.0300743,-0.0012875492,0.15526472,96.23221,0
0.07185824,0.068409085,0.000115013034,0.02464431,103.74287,0
0.109268285,0.084913306,-0.0042533856,0.13285369,123.72557,0
0.14079827,0.2960785,-0.010699762,0.3587911,120.29059,0
0.14243574,0.11555364,-0.003096256,0.10692698,124.46042,0
0.08568992,0.09392324,0.0018383807,0.050202005,109.088806,0
0.15742108,0.117687136,-0.01216853,0.16936849,114.08139,0
0.08474633,0.07642523,-0.0005809719,0.05212943,102.40131,0
0.056282565,0.09722954,-0.0067154877,0.28071517,110.96745,0
0.060382348,0.06922864,0.0053725378,0.107382834,103.12592,0
0.2356128,0.17188269,0.0004850607,0.15641238,103.60856,0
0.055847656,0.07282643,0.002328637,0.13682473,124.73201,0
0.08522431,0.07535745,-0.002625579,0.06960392,111.82197,0
0.035246965,0.10463717,0.0005516687,0.496114,107.34335,0
0.13132761,0.17228986,0.0036726804,0.13706554,121.03859,0
0.010401597,0.041995846,0.0010835832,0.60437846,115.17651,0
0.03671273,0.027134122,0.0036187305,0.18803202,97.60222,0
0.259239,0.24111974,-0.0046968465,0.040789675,115.69655,0
0.0779122,0.10923064,0.0073532006,0.18488169,104.916626,0
0.0771568,0.10113646,-0.006510132,0.15304178,113.81201,0
0.036605332,0.088592,0.0060373447,0.42628777,114.66727,0
0.106470086,0.058003634,-0.0030079214,0.29693547,104.09343,0
0.03218892,0.047401097,-0.0028432796,0.20404689,104.23732,0
0.068457425,0.020786317,-0.00044015492,0.5342526,103.61141,0
0.07225004,0.0936099,-0.00080887525,0.12915054,118.276146,0
